n,r,m
"(:课程目标 {编号: 2,内容: 具有职业判断能力·专业水准和高的道德标准，通过敏锐的洞察力对信息进行恰当分析，及时分析和解决会计实际问题，提供决策支持和规避风险的合理建议。,所属课程: Performance Management})",[:支撑 {支撑强度: M}],"(:毕业要求 {标题: 思想道德,编号: 1,内容: 掌握马克思主义的基本原理，熟悉党和国家的基本路线、方针、政策和法规，具有国际视野下的家国情怀、人文素养，自觉践行社会主义核心价值观，具有较强的社会责任感和职业道德})"
"(:课程目标 {编号: 1,内容: 能够课前自学基础知识，课后具备应用管理会计方法和知识的能力，将信息量化·质化，用于规划·决策·业绩评估与管理控制。并且能够基于,所属课程: Performance Management})",[:支撑 {支撑强度: H}],"(:毕业要求 {标题: 学科知识,编号: 2,内容: 掌握业绩管理的基本理论和分析技能，了解ACCA专业领域及国际业绩管理的国内外发展动态})"
"(:课程目标 {编号: 4,内容: 具有较强的组织沟通能力·国际化视野以及批判性思维，了解本学科的理论前沿和发展动态。具有运用定性·定量方法分析解决实际问题的能力，具备一定的创新创业能力。,所属课程: Performance Management})",[:支撑 {支撑强度: M}],"(:毕业要求 {标题: 创新能力,编号: 3,内容: 具有逻辑思辨和创新能力，能够发现、辨析、评价业绩管理的问题，具备创新的思维力、扎实的思辨力和解决业绩管理问题的能力})"
"(:课程目标 {编号: 2,内容: 具有职业判断能力·专业水准和高的道德标准，通过敏锐的洞察力对信息进行恰当分析，及时分析和解决会计实际问题，提供决策支持和规避风险的合理建议。,所属课程: Performance Management})",[:支撑 {支撑强度: H}],"(:毕业要求 {标题: 实践能力,编号: 4,内容: 能够运用业绩管理的基本理论对业绩管理问题或学术问题展开定量分析研究，具有ACCA职业所需的基本业务能力和实际操作技能})"
"(:课程目标 {编号: 5,内容: 具备信息技术应用能力，能利用excel工具去呈现和计算关键的数据信息帮助做出正确决策，能应用word工具去收集整合信息。,所属课程: Performance Management})",[:支撑 {支撑强度: M}],"(:毕业要求 {标题: 信息应用,编号: 5,内容: 具备信息技术应用能力，掌握会计信息系统、文献检索、资料查询的基本方法，具备业绩管理数据搜集分析能力，熟练使用相关会计软件和数据库})"
"(:课程目标 {编号: 3,内容: 熟练掌握英语，具有较强的语言与文字表达·人际沟通以及分析和解决会计实际问题的基本能力。,所属课程: Performance Management})",[:支撑 {支撑强度: H}],"(:毕业要求 {标题: 沟通表达,编号: 6,内容: 具有较强的沟通表达能力，能够使用规范准确的语言文字，逻辑清晰地表达业绩管理观点，通过口头和书面表达方式与国际同行进行有效的业务沟通和工作协调})"
"(:课程目标 {编号: 4,内容: 具有较强的组织沟通能力·国际化视野以及批判性思维，了解本学科的理论前沿和发展动态。具有运用定性·定量方法分析解决实际问题的能力，具备一定的创新创业能力。,所属课程: Performance Management})",[:支撑 {支撑强度: H}],"(:毕业要求 {标题: 沟通表达,编号: 6,内容: 具有较强的沟通表达能力，能够使用规范准确的语言文字，逻辑清晰地表达业绩管理观点，通过口头和书面表达方式与国际同行进行有效的业务沟通和工作协调})"
"(:课程目标 {编号: 4,内容: 具有较强的组织沟通能力·国际化视野以及批判性思维，了解本学科的理论前沿和发展动态。具有运用定性·定量方法分析解决实际问题的能力，具备一定的创新创业能力。,所属课程: Performance Management})",[:支撑 {支撑强度: M}],"(:毕业要求 {标题: 团队合作,编号: 7,内容: 具有强烈的责任感和团队合作精神，能够适应国际化团队工作，在团队中发挥重要作用，协同完成跨国会计任务})"
"(:课程目标 {编号: 3,内容: 熟练掌握英语，具有较强的语言与文字表达·人际沟通以及分析和解决会计实际问题的基本能力。,所属课程: Performance Management})",[:支撑 {支撑强度: H}],"(:毕业要求 {标题: 国际视野,编号: 8,内容: 了解不同国家和地区的业绩管理体系，熟练掌握英语，能够快速阅读和理解英文业绩管理专业文献，适应国际化会计工作环境})"
"(:课程目标 {编号: 4,内容: 具有较强的组织沟通能力·国际化视野以及批判性思维，了解本学科的理论前沿和发展动态。具有运用定性·定量方法分析解决实际问题的能力，具备一定的创新创业能力。,所属课程: Performance Management})",[:支撑 {支撑强度: H}],"(:毕业要求 {标题: 国际视野,编号: 8,内容: 了解不同国家和地区的业绩管理体系，熟练掌握英语，能够快速阅读和理解英文业绩管理专业文献，适应国际化会计工作环境})"
